Abouriou
Agiorgitiko
Aglianico
Aidani
Airen
Albana
Albanello
Albariño
Albarossa
Aleatico
Alfrocheiro
Alicante
Alicante Bouschet
Aligoté
Alsace white blend
Altesse
Alvarelhão
Alvarinho
Alvarinho-Chardonnay
Ansonica
Antão Vaz
Apple
Aragonez
Aragonês
Argaman
Arinto
Arneis
Asprinio
Assyrtico
Assyrtiko
Athiri
Austrian Red Blend
Austrian white blend
Auxerrois
Avesso
Azal
Babić
Babosa Negro
Bacchus
Baco Noir
Baga
Baga-Touriga Nacional
Barbera
Barbera-Nebbiolo
Bastardo
Biancale
Biancolella
Biancu Gentile
Bical
Black Monukka
Black Muscat
Blanc du Bois
Blatina
Blauburger
Blauburgunder
Blauer Portugieser
Blaufränkisch
Bobal
Bobal-Cabernet Sauvignon
Bombino Bianco
Bombino Nero
Bonarda
Bordeaux-style Red Blend
Bordeaux-style White Blend
Bovale
Boğazkere
Brachetto
Braucol
Bual
Cabernet
Cabernet Blend
Cabernet Franc
Cabernet Franc-Cabernet Sauvignon
Cabernet Franc-Carmenère
Cabernet Franc-Lemberger
Cabernet Franc-Malbec
Cabernet Franc-Merlot
Cabernet Merlot
Cabernet Moravia
Cabernet Pfeffer
Cabernet Sauvignon
Cabernet Sauvignon Grenache
Cabernet Sauvignon-Barbera
Cabernet Sauvignon-Cabernet Franc
Cabernet Sauvignon-Carmenère
Cabernet Sauvignon-Malbec
Cabernet Sauvignon-Merlot
Cabernet Sauvignon-Merlot-Shiraz
Cabernet Sauvignon-Sangiovese
Cabernet Sauvignon-Shiraz
Cabernet Sauvignon-Syrah
Cabernet Sauvignon-Tempranillo
Cabernet-Malbec
Cabernet-Shiraz
Cabernet-Syrah
Canaiolo
Cannonau
Caprettone
Carcajolu
Carignan
Carignan-Grenache
Carignan-Syrah
Carignane
Carignano
Carineña
Cariñena-Garnacha
Carmenère
Carmenère-Cabernet Sauvignon
Carmenère-Syrah
Carricante
Casavecchia
Castelão
Catalanesca
Catarratto
Cayuga
Centesimino
Cerceal
Cercial
Cesanese
Cesanese d'Affile
Chambourcin
Champagne Blend
Chancellor
Charbono
Chardonel
Chardonnay
Chardonnay Weissburgunder
Chardonnay-Albariño
Chardonnay-Pinot Blanc
Chardonnay-Pinot Gris
Chardonnay-Riesling
Chardonnay-Sauvignon
Chardonnay-Sauvignon Blanc
Chardonnay-Semillon
Chardonnay-Viognier
Chasselas
Chelois
Chenin Blanc
Chenin Blanc-Chardonnay
Chenin Blanc-Sauvignon Blanc
Chenin Blanc-Viognier
Chinuri
Ciliegiolo
Cinsault
Clairette
Claret
Cococciola
Coda di Volpe
Colombard
Colombard-Sauvignon Blanc
Colombard-Ugni Blanc
Colorino
Cortese
Corvina
"Corvina, Rondinella, Molinara",
Counoise
Códega do Larinho
Dafni
Debit
Diamond
Dolcetto
Dornfelder
Doña Blanca
Duras
Durella
Durif
Edelzwicker
Ekigaïna
Elbling
Emir
Encruzado
Erbaluce
Espadeiro
Falanghina
Favorita
Fer Servadou
Fernão Pires
Feteasca
Feteasca Neagra
Feteascǎ Regalǎ
Fiano
Folle Blanche
Forcallà
Francisa
Franconia
Frankovka
Frappato
Freisa
Friulano
Früburgunder
Fumé Blanc
Furmint
G-S-M
Gaglioppo
Gamay
Gamay Noir
Gamza
Garganega
Garnacha
Garnacha Blanca
Garnacha Blend
Garnacha Tintorera
Garnacha-Cabernet
Garnacha-Cariñena
Garnacha-Monastrell
Garnacha-Syrah
Garnacha-Tempranillo
Gelber Muskateller
Gelber Traminer
Gewürztraminer
Gewürztraminer-Riesling
Glera
Godello
Gouveio
Graciano
Gragnano
Grauburgunder
Graševina
Grecanico
Grechetto
Greco
Greco Bianco
Grenache
Grenache Blanc
Grenache Blend
Grenache Gris
Grenache Noir
Grenache-Carignan
Grenache-Mourvèdre
Grenache-Shiraz
Grenache-Syrah
Grignolino
Grillo
Grolleau
Groppello
Gros Manseng
Gros Plant
Gros and Petit Manseng
Grüner Veltliner
Hondarrabi Zuri
Hárslevelü
Incrocio Manzoni
Insolia
Inzolia
Irsai Oliver
Jacquez
Jacquère
Jaen
Jampal
Johannisberg Riesling
Kadarka
Kalecik Karasi
Kangoun
Karalahna
Karasakiz
Kekfrankos
Kerner
Kinali Yapincak
Kisi
Kotsifali
Kuntra
Lagrein
Lambrusco
Lambrusco Grasparossa
Lambrusco Salamino
Lambrusco di Sorbara
Lemberger
Listán Negro
Loin de l'Oeil
Loureiro
Loureiro-Arinto
Macabeo
Macabeo-Chardonnay
Macabeo-Moscatel
Madeira Blend
Madeleine Angevine
Magliocco
Malagousia
Malagouzia
Malagouzia-Chardonnay
Malbec
Malbec Blend
Malbec-Bonarda
Malbec-Cabernet
Malbec-Cabernet Franc
Malbec-Cabernet Sauvignon
Malbec-Carménère
Malbec-Merlot
Malbec-Petit Verdot
Malbec-Syrah
Malbec-Tannat
Malbec-Tempranillo
Malvar
Malvasia
Malvasia Bianca
Malvasia Fina
Malvasia Istriana
Malvasia Nera
Malvasia di Candia
Malvasia-Viura
Mandilaria
Mansois
Mantonico
Manzoni
Marawi
Maria Gomes
Maria Gomes-Bical
Marquette
Marsanne
Marsanne-Roussanne
Marsanne-Viognier
Marselan
Marzemino
Mataro
Maturana
Mauzac
Mavrodaphne
Mavrokalavryta
Mavrotragano
Mavroudi
Mavrud
Mazuelo
Melnik
Melon
Mencía
Meritage
Merlot
Merlot-Argaman
Merlot-Cabernet
Merlot-Cabernet Franc
Merlot-Cabernet Sauvignon
Merlot-Grenache
Merlot-Malbec
Merlot-Petite Verdot
Merlot-Shiraz
Merlot-Syrah
Merlot-Tannat
Merseguera-Sauvignon Blanc
Meseguera
Misket
Mission
Molinara
Monastrell
Monastrell-Petit Verdot
Monastrell-Syrah
Mondeuse
Monica
Montepulciano
Morava
Morillon
Morio Muskat
Moscadello
Moscatel
Moscatel Graúdo
Moscatel Roxo
Moscatel de Alejandría
Moscato
Moscato Giallo
Moscato Rosa
Moscato di Noto
Moschofilero
Moschofilero-Chardonnay
Mourvèdre
Mourvèdre-Syrah
Mtsvane
Muscadel
Muscadelle
Muscadine
Muscat
Muscat Blanc
Muscat Blanc à Petits Grains
Muscat Canelli
Muscat Hamburg
Muscat d'Alexandrie
Muscat of Alexandria
Muscatel
Muskat
Muskat Ottonel
Muskateller
Müller-Thurgau
Narince
Nascetta
Nasco
Nebbiolo
Negrette
Negroamaro
Nerello Cappuccio
Nerello Mascalese
Nero d'Avola
Nero di Troia
Neuburger
Nielluciu
Norton
Nosiola
Nuragus
Ojaleshi
Okuzgozu
Ondenc
Orange Muscat
Orangetraube
Other
Otskhanuri Sapere
Pallagrello
Pallagrello Bianco
Pallagrello Nero
Palomino
Pansa Blanca
Papaskarasi
Paralleda
Parraleta
Passerina
País
Pecorino
Pedro Ximénez
Perricone
Petit Courbu
Petit Manseng
Petit Meslier
Petit Verdot
