Agiorgitiko
Aglianico
Albana
Albanello
Albariño
Alsace white blend
Altesse
Alvarinho
Antão Vaz
Aragonez
Aragonês
Arinto
Arneis
Assyrtico
Assyrtiko
Austrian Red Blend
Austrian white blend
Auxerrois
Avesso
Baga
Barbera
Bical
Blanc du Bois
Blaufränkisch
Bonarda
Bordeaux-style Red Blend
Bordeaux-style White Blend
Cabernet Blend
Cabernet Franc
Cabernet Franc-Cabernet Sauvignon
Cabernet Franc-Carmenère
Cabernet Franc-Merlot
Cabernet Merlot
Cabernet Moravia
Cabernet Sauvignon
Cabernet Sauvignon-Carmenère
Cabernet Sauvignon-Malbec
Cabernet Sauvignon-Merlot
Cabernet Sauvignon-Sangiovese
Cabernet Sauvignon-Shiraz
Cabernet Sauvignon-Syrah
Cannonau
Carignan-Grenache
Carignano
Carmenère
Carricante
Catarratto
Cerceal
Cesanese
Chambourcin
Champagne Blend
Charbono
Chardonnay
Chardonnay-Viognier
Chenin Blanc
Chenin Blanc-Chardonnay
Chinuri
Cinsault
Claret
Colombard
Cortese
"Corvina, Rondinella, Molinara"
Dolcetto
Dornfelder
Duras
Encruzado
Falanghina
Fernão Pires
Feteasca Neagra
Fiano
Frappato
Friulano
Früburgunder
Fumé Blanc
Furmint
G-S-M
Gamay
Gamay Noir
Garganega
Garnacha
Garnacha Blanca
Garnacha Tintorera
Gelber Muskateller
Gewürztraminer
Gewürztraminer-Riesling
Glera
Godello
Graciano
Grechetto
Greco
Grenache
Grenache Blanc
Grenache-Syrah
Grillo
Grüner Veltliner
Insolia
Inzolia
Kerner
Kinali Yapincak
Lagrein
Lambrusco
Lambrusco di Sorbara
Lemberger
Magliocco
Malagousia
Malbec
Malbec-Cabernet Franc
Malbec-Cabernet Sauvignon
Malbec-Merlot
Malbec-Tannat
Malvasia
Malvasia Bianca
Manzoni
Marsanne
Marsanne-Roussanne
Marsanne-Viognier
Maturana
Melon
Mencía
Meritage
Merlot
Merlot-Argaman
Merlot-Cabernet Franc
Merlot-Malbec
Monastrell
Monastrell-Syrah
Mondeuse
Monica
Montepulciano
Moscatel
Moscato
Moschofilero
Mourvèdre
Muscadelle
Muscat
Muscat Blanc à Petits Grains
Muscat Canelli
Muskat
Muskat Ottonel
Müller-Thurgau
Nebbiolo
Negroamaro
Nerello Mascalese
Nero d'Avola
Nero di Troia
Nosiola
Ojaleshi
Pallagrello
Pansa Blanca
Papaskarasi
Pecorino
Pedro Ximénez
Perricone
Petit Manseng
Petit Verdot
Petite Sirah
Picpoul
Pinot Bianco
Pinot Blanc
Pinot Grigio
Pinot Gris
Pinot Meunier
Pinot Nero
Pinot Noir
Pinot Noir-Gamay
Pinotage
Plavac Mali
Port
Portuguese Red
Portuguese Sparkling
Portuguese White
Primitivo
Prié Blanc
Prosecco
Provence red blend
Provence white blend
Prugnolo Gentile
Pugnitello
Red Blend
Refosco
Rhône-style Red Blend
Rhône-style White Blend
Ribolla Gialla
Rieslaner
Riesling
Roditis
Rosado
Rosato
Rosé
Roter Veltliner
Rotgipfler
Roussanne
Roussanne-Viognier
Ruché
Sagrantino
Sangiovese
Sangiovese Grosso
Saperavi
Sauvignon
Sauvignon Blanc
Sauvignon Blanc-Semillon
Sauvignon Gris
Savagnin
Scheurebe
Semillon-Sauvignon Blanc
Seyval Blanc
Sherry
Shiraz
Shiraz-Cabernet Sauvignon
Shiraz-Viognier
Silvaner
Sousão
Sparkling Blend
Spätburgunder
St. Laurent
Sylvaner
Syrah
Syrah-Cabernet
Syrah-Cabernet Sauvignon
Syrah-Grenache
Syrah-Merlot
Syrah-Petit Verdot
Syrah-Petite Sirah
Syrah-Viognier
Sémillon
Tannat
Tannat-Cabernet
Tannat-Syrah
Tempranillo
Tempranillo Blend
Tempranillo-Cabernet Sauvignon
Tempranillo-Merlot
Teroldego
Tinta Fina
Tinta Miúda
Tinta Roriz
Tinta de Toro
Tinto Fino
Tocai
Torbato
Torrontés
Touriga Nacional
Touriga Nacional Blend
Traminer
Traminette
Trebbiano
Turbiana
Ugni Blanc-Colombard
Verdejo
Verdejo-Viura
Verdelho
Verdicchio
Verduzzo
Vermentino
Vernaccia
Vidal
Vidal Blanc
Vignoles
Vilana
Viognier
Viognier-Chardonnay
Viura
Viura-Chardonnay
Weissburgunder
Welschriesling
White Blend
White Port
Xarel-lo
Zibibbo
Zierfandler
Zinfandel
Zweigelt
